,day,ID,timestamps,date_time,price,market_caps,volumes,price_dif,%change,st_dev,>st_dev
1626,227,shiba-inu,1657497600000,2022-07-11 00:00:00,1.12246955278623e-05,6624293145.054708,363736767.79619837,-4.142469982534151e-07,-0.035591463513452236,0.06364262486502008,0
1627,228,shiba-inu,1657584000000,2022-07-12 00:00:00,1.037754113337573e-05,6119347308.968657,333042482.5779278,-8.471543944865709e-07,-0.0754723718236933,0.06355275834864366,1
1628,229,shiba-inu,1657670400000,2022-07-13 00:00:00,9.99880343332025e-06,5923454229.667504,298673950.9649724,-3.7873770005548006e-07,-0.03649589967293917,0.06329206399263511,0
1629,230,shiba-inu,1657756800000,2022-07-14 00:00:00,1.0531229143000425e-05,6198402960.347786,417638532.8202249,5.324257096801752e-07,0.053248942559057336,0.06321599713254888,0
1630,231,shiba-inu,1657843200000,2022-07-15 00:00:00,1.0628038755024193e-05,6273822616.270164,351711398.37937695,9.680961202376796e-08,0.009192622314947198,0.06327172418515065,0
1631,232,shiba-inu,1657929600000,2022-07-16 00:00:00,1.085043094914162e-05,6391448778.938946,373496296.5083056,2.2239219411742676e-07,0.020925045461684576,0.06326789944461475,0
1632,233,shiba-inu,1658016000000,2022-07-17 00:00:00,1.1015965862517613e-05,6482780551.07325,297775695.59334224,1.6553491337599312e-07,0.015256068090925792,0.06327666820512527,0
1633,234,shiba-inu,1658102400000,2022-07-18 00:00:00,1.0778346538896356e-05,6369419340.866747,263334786.77918264,-2.3761932362125627e-07,-0.021570448437006163,0.0629256674101235,0
1634,235,shiba-inu,1658188800000,2022-07-19 00:00:00,1.19718199573403e-05,7026805758.074782,820520715.4994029,1.1934734184439431e-06,0.11072880373042342,0.06287522491922096,1
1635,236,shiba-inu,1658275200000,2022-07-20 00:00:00,1.2153386539828813e-05,7155048727.091518,874702134.0505571,1.8156658248851375e-07,0.015166163802621303,0.06338953839896443,0
1636,237,shiba-inu,1658361600000,2022-07-21 00:00:00,1.192742777821243e-05,7071260395.535392,1004887950.4538813,-2.2595876161638402e-07,-0.01859224676808204,0.06340156482328514,0
1637,238,shiba-inu,1658448000000,2022-07-22 00:00:00,1.200220703650426e-05,7088750356.390217,531330349.15307575,7.477925829183043e-08,0.006269520946371024,0.06338718998757009,0
1638,239,shiba-inu,1658534400000,2022-07-23 00:00:00,1.1733173909709861e-05,6906977839.023146,442612339.05575216,-2.690331267943987e-07,-0.022415304616571322,0.06339075613362781,0
1639,240,shiba-inu,1658620800000,2022-07-24 00:00:00,1.161823636934926e-05,6847583680.079304,346816908.6041393,-1.1493754036060031e-07,-0.009795946198793069,0.06338685424799465,0
1640,241,shiba-inu,1658707200000,2022-07-25 00:00:00,1.1606835201413342e-05,6868881669.111706,276447095.1546466,-1.1401167935919004e-08,-0.0009813165762401841,0.0633790581060073,0
1641,242,shiba-inu,1658793600000,2022-07-26 00:00:00,1.0745391776299988e-05,6392458159.979769,340717619.9124579,-8.614434251133535e-07,-0.07421863153605018,0.06324418244967848,1
1642,243,shiba-inu,1658880000000,2022-07-27 00:00:00,1.0817137842556578e-05,6364347760.5350685,338520195.67562294,7.174606625658969e-08,0.0066769148813012715,0.06343833063406337,0
1643,244,shiba-inu,1658966400000,2022-07-28 00:00:00,1.1465103892093968e-05,6738167418.58215,462471704.3006545,6.479660495373903e-07,0.05990180202642649,0.06331467480563585,0
1644,245,shiba-inu,1659052800000,2022-07-29 00:00:00,1.1839602858158784e-05,6984884948.762419,679215202.4431872,3.7449896606481605e-07,0.03266424531251397,0.0634145939527931,0
1645,246,shiba-inu,1659139200000,2022-07-30 00:00:00,1.1788929795780945e-05,7012833300.802061,535721091.9268456,-5.067306237783949e-08,-0.00427996301775614,0.06344791421340046,0
1646,247,shiba-inu,1659225600000,2022-07-31 00:00:00,1.1918377307825239e-05,7014675118.266757,724710740.7764822,1.2944751204429428e-07,0.01098042946108826,0.06334268628835865,0
1647,248,shiba-inu,1659312000000,2022-08-01 00:00:00,1.1740225561710285e-05,6923437096.548031,438273542.7610491,-1.7815174611495372e-07,-0.014947651136869512,0.06329788526959633,0
1648,249,shiba-inu,1659398400000,2022-08-02 00:00:00,1.2017002762338996e-05,7072042241.046877,631996762.5713878,2.76777200628711e-07,0.02357511780109196,0.06232758700524096,0
1649,250,shiba-inu,1659484800000,2022-08-03 00:00:00,1.18124990673867e-05,6986733200.421667,413661057.3331492,-2.0450369495229581e-07,-0.017017862024065234,0.06218331649404991,0
1650,251,shiba-inu,1659571200000,2022-08-04 00:00:00,1.1830731405932088e-05,6956692673.887077,361940028.5728884,1.8232338545387874e-08,0.0015434785172365264,0.06212973343960006,0
1651,252,shiba-inu,1659657600000,2022-08-05 00:00:00,1.1862531508891679e-05,6965399643.814533,314017914.5671281,3.180010295959093e-08,0.0026879236683241686,0.06212985153814396,0
1652,253,shiba-inu,1659744000000,2022-08-06 00:00:00,1.2120867613180494e-05,7135552439.730743,353221030.7475274,2.5833610428881475e-07,0.021777485193204868,0.06212843403783225,0
